Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammSO4f_Val,ECf_Val,OMCf_Val,OCf_Val,TCf_Val,FEf_Val,PBf_Val,MT_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,NO3f_Val,N2f_Val,Kf_Val,SeaSaltf_Val,SOILf_Val,SO4f_Val
IMPAER,ACAD1,1,06/01/2002,44.3771,-68.261,157.3333,ME,0.65326,2.14253,0.2526,3.17916,1.7662,-999,0.02184,0.00105,11.0964,10.0553,7.4879,3.6085,6.44683,0.5064,0,0.04474,-0.10044,0.31973,1.5582
IMPAER,ACAD1,1,06/04/2002,44.3771,-68.261,157.3333,ME,0.11288,0.60555,0.0863,0.5706,0.317,-999,0.01012,0.0005,3.5491,3.25746,1.8829,1.6662,1.59126,0.0875,0,0.01189,0.06354,0.1524,0.4404
IMPAER,ACAD1,1,06/07/2002,44.3771,-68.261,157.3333,ME,0.0992,0.7051,0.1098,1.01214,0.5623,-999,0.00826,0.00074,4.5804,4.27657,2.4232,2.1572,2.11937,0.0769,0,0.01915,0.00774,0.18539,0.5128
IMPAER,ACAD1,1,06/10/2002,44.3771,-68.261,157.3333,ME,0.06282,0.3366,0.0989,0.94536,0.5252,-999,0.01015,0.00027,3.7478,3.65113,1.7213,2.0265,1.62463,0.0487,0,0.01112,0.04446,0.13649,0.2448
IMPAER,ACAD1,1,06/13/2002,44.3771,-68.261,157.3333,ME,0.20008,1.4619,0.1933,1.09512,0.6084,-999,0.00589,0.00088,5.1345,4.34287,3.5474,1.5871,2.75577,0.1551,0,0.01283,-0.2268,0.03217,1.0632
IMPAER,ACAD1,1,06/16/2002,44.3771,-68.261,157.3333,ME,0.10591,0.42419,0.0393,0.3069,0.1705,-999,0.00085,0.00042,2.3024,1.9951,1.1775,1.1249,0.8702,0.0821,0,0.00553,-0.018,0.0119,0.3085
IMPAER,ACAD1,1,06/19/2002,44.3771,-68.261,157.3333,ME,0.16254,2.37641,0.1997,1.9125,1.0625,-999,0.00486,0.00104,6.5403,5.82601,4.8374,1.7029,4.12311,0.126,0,0.01834,-0.55818,0.03014,1.7283
IMPAER,ACAD1,1,06/22/2002,44.3771,-68.261,157.3333,ME,0.54838,6.97098,0.468,5.45886,3.0327,-999,0.03586,0.0018,17.2683,16.0136,14.3956,2.8727,13.1409,0.4251,0.0214,0.04254,-0.74196,0.43663,5.0698
IMPAER,ACAD1,1,06/25/2002,44.3771,-68.261,157.3333,ME,0.13081,0.47864,0.1103,1.91664,1.0648,-999,0.00962,0.00049,4.7406,4.22104,3.1323,1.6083,2.61274,0.1014,0,0.01544,-0.1638,0.14016,0.3481
IMPAER,ACAD1,1,06/28/2002,44.3771,-68.261,157.3333,ME,0.43176,4.67679,0.4003,3.73086,2.0727,-999,0.02322,0.00147,11.562,9.86258,10.582,0.98,8.88258,0.3347,0.0212,0.04186,-0.71514,0.35801,3.4013
IMPAER,ACAD1,1,07/01/2002,44.3771,-68.261,157.3333,ME,0.62965,6.70821,0.454,5.04864,2.8048,-999,0.01785,0.00222,15.873,13.7823,14.43,1.443,12.3393,0.4881,0.0206,0.04642,-0.68994,0.18876,4.8787
IMPAER,ACAD1,1,07/04/2002,44.3771,-68.261,157.3333,ME,0.49446,11.2644,0.4886,7.01334,3.8963,-999,0.17097,0.00512,29.6418,27.014,24.0801,5.5617,21.4523,0.3833,0.0178,0.25595,-0.7371,2.92864,8.1923
IMPAER,ACAD1,1,07/07/2002,44.3771,-68.261,157.3333,ME,0.09997,0.41869,0.1001,2.00322,1.1129,-999,0.00407,0.00086,3.8213,3.66687,2.7658,1.0555,2.61137,0.0775,0,0.02095,-0.0333,0.02268,0.3045
IMPAER,ACAD1,1,07/10/2002,44.3771,-68.261,157.3333,ME,0.25297,2.02634,0.5593,17.4116,9.6731,-999,0.016,0.00141,26.1155,25.5119,20.7724,5.3431,20.1688,0.1961,0,0.11659,-0.31842,0.23706,1.4737
IMPAER,ACAD1,1,07/13/2002,44.3771,-68.261,157.3333,ME,0.69944,2.92889,0.4813,5.89914,3.2773,-999,0.03916,0.00196,14.1828,13.1468,11.0383,3.1445,10.0023,0.5422,0,0.05264,-0.40608,0.39957,2.1301
IMPAER,ACAD1,1,07/16/2002,44.3771,-68.261,157.3333,ME,0.24613,1.35053,0.1826,1.44252,0.8014,-999,0.00457,0.00031,3.2359,2.8932,3.5117,-0.2758,3.169,0.1908,0,0.015,-0.0828,0.03003,0.9822
IMPAER,ACAD1,1,07/19/2002,44.3771,-68.261,157.3333,ME,0.15596,1.54413,0.2093,1.67004,0.9278,-999,0.01103,0.00041,-999,-999,4.0157,-999,3.55146,0.1209,0,0.02528,-0.243,0.21503,1.123
IMPAER,ACAD1,1,07/22/2002,44.3771,-68.261,157.3333,ME,0.80986,3.21791,0.2447,3.54888,1.9716,-999,0.00972,0.00054,-999,-999,8.022,-999,7.73021,0.6278,0,0.04138,-0.1692,0.07805,2.3403
IMPAER,ACAD1,1,07/25/2002,44.3771,-68.261,157.3333,ME,0.11391,0.25245,0.0868,0.95364,0.5298,-999,0.00976,0.00046,-999,-999,1.9587,-999,1.55934,0.0883,0,0.01809,-0.0711,0.22364,0.1836
IMPAER,ACAD1,1,07/28/2002,44.3771,-68.261,157.3333,ME,0.37165,8.88016,0.1984,0.93618,0.5201,-999,0.0126,0.00089,-999,-999,11.9867,-999,9.69561,0.2881,0,0.01858,-0.77364,0.08286,6.4583
IMPAER,ACAD1,1,07/31/2002,44.3771,-68.261,157.3333,ME,0.1072,1.03249,0.2608,3.66804,2.0378,-999,0.01389,0.00066,-999,-999,5.0886,-999,4.93965,0.0831,0.0164,0.02198,-0.31374,0.18486,0.7509
IMPAER,ACAD1,1,08/03/2002,44.3771,-68.261,157.3333,ME,0.27567,4.69727,0.2065,1.92348,1.0686,-999,0.009,0.00029,9.604,8.3193,8.226,1.378,6.9413,0.2137,0,0.01431,-0.5562,0.39457,3.4162
IMPAER,ACAD1,1,08/06/2002,44.3771,-68.261,157.3333,ME,0.09107,1.14868,0.1601,1.22994,0.6833,-999,0.01028,0.00055,4.9645,4.27284,3.2506,1.7139,2.55894,0.0706,0,0.01406,-0.29412,0.22327,0.8354
IMPAER,ACAD1,1,08/09/2002,44.3771,-68.261,157.3333,ME,0.13055,0.36547,0.1714,1.6452,0.914,-999,0.02107,0.00044,5.2997,5.05254,2.8612,2.4385,2.61404,0.1012,0,0.01893,-0.1161,0.41752,0.2658
IMPAER,ACAD1,1,08/12/2002,44.3771,-68.261,157.3333,ME,0.44982,11.1504,0.5501,4.00986,2.2277,-999,0.0316,0.00176,19.2982,17.794,17.7068,1.5914,16.2026,0.3487,0.0221,0.03119,-0.69246,0.73481,8.1094
IMPAER,ACAD1,1,08/15/2002,44.3771,-68.261,157.3333,ME,0.85798,18.7363,0.5193,4.09248,2.2736,-999,0.2111,0.00159,31.7093,31.8876,27.5646,4.1447,27.7429,0.6651,0.0227,0.14245,-0.83916,4.37602,13.6264
IMPAER,ACAD1,1,08/18/2002,44.3771,-68.261,157.3333,ME,0.25994,8.5382,0.3228,2.53836,1.4102,-999,0.1242,0.00111,14.6888,15.3538,12.7365,1.9523,13.4015,0.2015,0.0151,0.07963,-0.54612,2.28837,6.2096
IMPAER,ACAD1,1,08/21/2002,44.3771,-68.261,157.3333,ME,0.08604,0.83242,0.1299,1.20096,0.6672,-999,0.01691,0.00072,4.7149,4.28303,2.7718,1.9431,2.33993,0.0667,0.0124,0.01543,-0.24552,0.33613,0.6054
IMPAER,ACAD1,1,08/24/2002,44.3771,-68.261,157.3333,ME,0.21853,0.96278,0.1547,1.73034,0.9613,-999,0.00601,0.00036,5.438,5.12714,3.3054,2.1326,2.99454,0.1694,0.0138,0.01498,-0.20052,0.12872,0.7002
IMPAER,ACAD1,1,08/27/2002,44.3771,-68.261,157.3333,ME,0.1966,1.45984,0.1739,1.58742,0.8819,-999,0.02006,0.00093,6.3121,5.59843,3.9756,2.3365,3.26193,0.1524,0.0286,0.01994,-0.42174,0.26592,1.0617
