Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ammNO3f_Val,ammSO4f_Val,ECf_Val,OMCf_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,SeaSaltf_Val,SOILf_Val
IMPAER,ACAD1,1,06/02/2012,44.3771,-68.261,157.3333,ME,0.14409,0.45375,0.0457,0.79542,6.04324,2.2121,4.2648,1.77844,0.26892,0.07056
IMPAER,ACAD1,1,06/05/2012,44.3771,-68.261,157.3333,ME,0.10243,0.51618,0.0181,0.46314,3.91333,1.7514,2.4118,1.50153,0.36792,0.03377
IMPAER,ACAD1,1,06/08/2012,44.3771,-68.261,157.3333,ME,0.10217,0.74415,0.1257,0.87642,4.46556,2.577,2.5725,1.89306,0.01962,0.025
IMPAER,ACAD1,1,06/11/2012,44.3771,-68.261,157.3333,ME,0.21969,1.07938,0.048,0.93582,7.43358,3.0081,5.003,2.43058,0.08082,0.06688
IMPAER,ACAD1,1,06/14/2012,44.3771,-68.261,157.3333,ME,0.04967,0.4356,0.0719,1.3266,7.10302,2.3024,5.0641,2.03892,0.06048,0.09468
IMPAER,ACAD1,1,06/17/2012,44.3771,-68.261,157.3333,ME,0.30238,1.47716,0.0507,0.88092,7.94327,3.9461,4.3604,3.58287,0.7659,0.10581
IMPAER,ACAD1,1,06/20/2012,44.3771,-68.261,157.3333,ME,0.52774,4.26085,0.2815,2.48238,11.5994,10.2816,3.5485,8.05092,0.13194,0.36651
IMPAER,ACAD1,1,06/23/2012,44.3771,-68.261,157.3333,ME,0.09585,0.77358,0.1219,0.85248,2.65666,2.613,0.7556,1.90106,0.03276,0.0245
IMPAER,ACAD1,1,06/26/2012,44.3771,-68.261,157.3333,ME,0.13751,0.76106,0.0845,0.7713,3.43729,2.6342,1.5279,1.90939,0.11628,0.03873
IMPAER,ACAD1,1,06/29/2012,44.3771,-68.261,157.3333,ME,0.38816,2.47926,0.2126,2.76084,8.78559,9.2156,2.5546,6.23099,0.12276,0.26737
IMPAER,ACAD1,1,07/02/2012,44.3771,-68.261,157.3333,ME,0.07637,0.7183,0.1016,1.98252,6.60972,3.8756,3.5853,3.02442,0.06246,0.08318
IMPAER,ACAD1,1,07/05/2012,44.3771,-68.261,157.3333,ME,0.06618,1.51676,0.1786,1.86966,7.92558,5.5173,4.2152,3.71038,0.02106,0.05812
IMPAER,ACAD1,1,07/08/2012,44.3771,-68.261,157.3333,ME,0.0289,0.48469,0.1052,1.74438,7.55259,3.08,5.0806,2.47199,0.02844,0.08039
IMPAER,ACAD1,1,07/11/2012,44.3771,-68.261,157.3333,ME,0.08991,0.5841,0.1779,2.45304,8.05815,4.3126,4.4731,3.58505,0.03924,0.24086
IMPAER,ACAD1,1,07/14/2012,44.3771,-68.261,157.3333,ME,0.41602,2.23974,0.2969,3.60756,13.3117,10.1613,6.2519,7.05976,0.1566,0.34294
IMPAER,ACAD1,1,07/17/2012,44.3771,-68.261,157.3333,ME,0.21788,2.91198,0.2391,2.5623,9.15396,8.4261,2.9281,6.22586,0.12276,0.17184
IMPAER,ACAD1,1,07/20/2012,44.3771,-68.261,157.3333,ME,0.05121,0.15125,0.069,1.04778,4.29847,1.8658,2.7189,1.57957,0.0306,0.22973
IMPAER,ACAD1,1,07/23/2012,44.3771,-68.261,157.3333,ME,0.51935,1.27793,0.1214,1.7577,8.39583,5.1761,4.0731,4.32273,0.53928,0.10708
IMPAER,ACAD1,1,07/26/2012,44.3771,-68.261,157.3333,ME,0.11133,0.528,0.1936,2.4435,5.92792,3.9627,2.506,3.42192,0.02502,0.12047
IMPAER,ACAD1,1,07/29/2012,44.3771,-68.261,157.3333,ME,0.11068,1.18154,0.1946,3.23064,6.28288,7.0983,1.3789,4.90398,0.06732,0.1192
IMPAER,ACAD1,1,06/03/2013,44.3771,-68.261,157.3333,ME,0.55973,2.29886,0.1269,1.49292,8.69391,6.2519,3.4517,5.24221,0.63198,0.13181
IMPAER,ACAD1,1,06/06/2013,44.3771,-68.261,157.3333,ME,0.14758,0.66,0.1048,1.41822,6.77866,3.2337,4.1337,2.64496,0.03204,0.28233
IMPAER,ACAD1,1,06/09/2013,44.3771,-68.261,157.3333,ME,0.09533,0.21546,0.0447,1.0269,4.25101,1.7053,2.798,1.45301,0.06012,0.0105
IMPAER,ACAD1,1,06/12/2013,44.3771,-68.261,157.3333,ME,0.03509,0.1364,0.0283,0.37008,2.09602,0.9634,1.4932,0.60282,0.01764,0.01531
IMPAER,ACAD1,1,06/15/2013,44.3771,-68.261,157.3333,ME,0.08591,0.65244,0.1109,2.05848,6.55714,4.0392,3.3759,3.18124,0.07956,0.19395
IMPAER,ACAD1,1,06/18/2013,44.3771,-68.261,157.3333,ME,0.08127,0.51934,0.1061,1.83762,7.37537,3.4661,4.6762,2.69917,0.0585,0.09634
IMPAER,ACAD1,1,06/21/2013,44.3771,-68.261,157.3333,ME,0.52774,0.9075,0.206,3.19194,15.0657,6.8785,9.6549,5.41083,0.33822,0.23944
IMPAER,ACAD1,1,06/24/2013,44.3771,-68.261,157.3333,ME,0.21104,2.49576,0.2197,3.80034,14.557,8.9042,6.814,7.74298,0.05688,0.95925
IMPAER,ACAD1,1,06/27/2013,44.3771,-68.261,157.3333,ME,0.15686,0.76326,0.0716,0.90216,5.21672,3.0232,3.0007,2.21602,0.28296,0.03917
IMPAER,ACAD1,1,06/30/2013,44.3771,-68.261,157.3333,ME,0.29218,1.90932,0.1173,1.05174,6.29015,5.3275,2.6244,3.66575,0.14976,0.14544
IMPAER,ACAD1,1,07/03/2013,44.3771,-68.261,157.3333,ME,0.24407,1.37514,0.3536,7.32744,15.4673,13.2338,5.8415,9.62583,0.06246,0.26312
IMPAER,ACAD1,1,07/06/2013,44.3771,-68.261,157.3333,ME,0.11236,2.56754,0.1661,2.23686,8.4856,7.3729,3.1227,5.3629,0.04878,0.23126
IMPAER,ACAD1,1,07/09/2013,44.3771,-68.261,157.3333,ME,0.1686,1.31519,0.2462,4.66038,9.84475,8.3429,3.3229,6.52185,0.03762,0.09385
IMPAER,ACAD1,1,07/12/2013,44.3771,-68.261,157.3333,ME,0.03535,0.46008,0.1017,2.7747,7.05033,5.0544,3.5507,3.49963,0.0225,0.10531
IMPAER,ACAD1,1,07/15/2013,44.3771,-68.261,157.3333,ME,0.0636,1.13658,0.1888,4.62888,10.9668,8.526,4.6607,6.30605,0.0927,0.1955
IMPAER,ACAD1,1,07/18/2013,44.3771,-68.261,157.3333,ME,0.07237,0.83339,0.1474,3.01734,7.24062,5.5115,2.995,4.24562,0.06984,0.10528
IMPAER,ACAD1,1,07/21/2013,44.3771,-68.261,157.3333,ME,0.0427,0.32711,0.1015,2.23956,5.4455,3.305,2.6587,2.7868,0.03186,0.04407
IMPAER,ACAD1,1,07/24/2013,44.3771,-68.261,157.3333,ME,0.03651,0.62796,0.107,0.79956,3.19736,2.4402,1.5653,1.63206,0.03672,0.02431
IMPAER,ACAD1,1,07/27/2013,44.3771,-68.261,157.3333,ME,0.06605,0.35668,0.1274,1.43226,4.0827,2.6401,2.0088,2.0739,0.03618,0.05534
IMPAER,ACAD1,1,07/30/2013,44.3771,-68.261,157.3333,ME,0.07985,1.42698,0.161,1.6398,5.70421,4.2896,2.3109,3.39331,0.0252,0.06049
IMPAER,ACAD1,1,06/01/2014,44.3771,-68.261,157.3333,ME,0.2936,0.93665,0.0981,1.86066,7.93927,4.6757,4.2634,3.67587,0.19404,0.29282
IMPAER,ACAD1,1,06/04/2014,44.3771,-68.261,157.3333,ME,0.012,0.10931,0.0066,0.2043,1.87147,0.2992,1.5223,0.34917,0.0135,0.00346
IMPAER,ACAD1,1,06/07/2014,44.3771,-68.261,157.3333,ME,0.07147,0.56994,0.0718,1.5912,6.50596,3.1647,3.9601,2.54586,0.0396,0.20186
IMPAER,ACAD1,1,06/10/2014,44.3771,-68.261,157.3333,ME,0.11984,0.76313,0.1889,2.67228,10.3926,5.0861,6.3389,4.05372,0.0621,0.24748
IMPAER,ACAD1,1,06/13/2014,44.3771,-68.261,157.3333,ME,0.16293,0.62329,0.0078,0.45504,8.53022,2.4346,6.483,2.04722,0.73944,0.05873
IMPAER,ACAD1,1,06/16/2014,44.3771,-68.261,157.3333,ME,0.03186,0.25974,0.0325,1.09962,6.26702,1.9529,4.6753,1.59172,0.02718,0.14082
IMPAER,ACAD1,1,06/19/2014,44.3771,-68.261,157.3333,ME,0.05689,0.44784,0.0763,1.49904,11.0792,2.697,8.8004,2.2788,0.0414,0.15733
IMPAER,ACAD1,1,06/22/2014,44.3771,-68.261,157.3333,ME,0.03315,0.40329,0.0976,1.40994,7.05289,2.3568,4.9212,2.13169,0.03024,0.15747
IMPAER,ACAD1,1,06/25/2014,44.3771,-68.261,157.3333,ME,0.66796,1.07305,0.0907,1.6029,12.011,5.8285,7.78,4.23099,0.63324,0.16314
IMPAER,ACAD1,1,06/28/2014,44.3771,-68.261,157.3333,ME,0.05457,0.28476,0.1195,3.49272,7.5318,5.2762,3.332,4.1998,0.0837,0.16455
IMPAER,ACAD1,1,07/01/2014,44.3771,-68.261,157.3333,ME,0.7522,2.4981,0.2526,3.78774,16.2842,11.0109,8.4652,7.81903,0.22572,0.30267
IMPAER,ACAD1,1,07/04/2014,44.3771,-68.261,157.3333,ME,0.35578,1.46121,0.1062,1.43622,7.38177,4.8584,3.249,4.13277,0.1494,0.62396
IMPAER,ACAD1,1,07/07/2014,44.3771,-68.261,157.3333,ME,0.90442,2.695,0.2169,3.81042,17.1479,11.4676,8.2942,8.85374,0.97362,0.25338
IMPAER,ACAD1,1,07/10/2014,44.3771,-68.261,157.3333,ME,0.26251,1.2705,0.1615,2.2239,7.90139,5.4604,3.7396,4.16179,0.11484,0.12853
IMPAER,ACAD1,1,07/13/2014,44.3771,-68.261,157.3333,ME,0.56541,1.24988,0.1426,2.14776,11.6657,6.2463,6.9175,4.74815,0.53658,0.10593
IMPAER,ACAD1,1,07/16/2014,44.3771,-68.261,157.3333,ME,0.01625,0.27637,0.009,0.20358,1.73456,0.8193,1.1617,0.57286,0.05364,0.01401
IMPAER,ACAD1,1,07/19/2014,44.3771,-68.261,157.3333,ME,0.07276,0.68791,0.1365,2.3454,6.35669,4.892,2.9796,3.37709,0.03456,0.09996
IMPAER,ACAD1,1,07/22/2014,44.3771,-68.261,157.3333,ME,0.24962,1.36978,0.3499,3.0591,8.40371,6.4555,3.2046,5.19911,0.05112,0.1196
IMPAER,ACAD1,1,07/25/2014,44.3771,-68.261,157.3333,ME,0.13829,0.68516,0.2659,5.53698,10.3511,8.8824,3.5647,6.78636,0.03546,0.12457
IMPAER,ACAD1,1,07/28/2014,44.3771,-68.261,157.3333,ME,0.09082,1.3563,0.1113,1.01664,4.20704,4.0185,1.4886,2.71844,0.10908,0.03431
IMPAER,ACAD1,1,07/31/2014,44.3771,-68.261,157.3333,ME,0.21504,0.99564,0.1475,1.7388,5.88508,4.592,2.6565,3.22858,0.04644,0.08516
IMPAER,ACAD1,1,06/02/2015,44.3771,-68.261,157.3333,ME,0.0556,0.12045,0.0071,0.432,4.35156,0.6949,3.6907,0.66085,0.03474,0.01097
IMPAER,ACAD1,1,06/05/2015,44.3771,-68.261,157.3333,ME,0.10385,0.60789,0.0334,0.79956,5.51478,2.6168,3.8793,1.63548,0.07344,0.01735
IMPAER,ACAD1,1,06/08/2015,44.3771,-68.261,157.3333,ME,0.22214,0.65285,0.0157,1.08864,13.4345,4.9918,10.0057,3.42877,1.33182,0.11762
