Dataset,SiteCode,POC,Date,Latitude,Longitude,Elevation,State,ALf_Val,ammNO3f_Val,ammSO4f_Val,ASf_Val,BRf_Val,CAf_Val,EC1f_Val,EC2f_Val,EC3f_Val,ECf_Val,OC1f_Val,OC2f_Val,OC3f_Val,OC4f_Val,OMCf_Val,OPf_Val,OPTf_Val,OCf_Val,TCf_Val,CHLf_Val,CLf_Val,CRf_Val,CUf_Val,fAbs_Val,RefF_405_Val,RefF_445_Val,RefF_532_Val,RefF_635_Val,RefF_780_Val,RefF_808_Val,RefF_980_Val,TransF_405_Val,TransF_445_Val,TransF_532_Val,TransF_635_Val,TransF_780_Val,TransF_808_Val,TransF_980_Val,FlowRate_Val,RefI_405_Val,RefI_445_Val,RefI_532_Val,RefI_635_Val,RefI_780_Val,RefI_808_Val,RefI_980_Val,TransI_405_Val,TransI_445_Val,TransI_532_Val,TransI_635_Val,TransI_780_Val,TransI_808_Val,TransI_980_Val,FEf_Val,PBf_Val,MGf_Val,MNf_Val,MT_Val,RCTM_Val,MF_Val,CM_calculated_Val,RCFM_Val,RefM_405_Val,RefM_445_Val,RefM_532_Val,RefM_635_Val,RefM_780_Val,RefM_808_Val,RefM_980_Val,TransM_405_Val,TransM_445_Val,TransM_532_Val,TransM_635_Val,TransM_780_Val,TransM_808_Val,TransM_980_Val,NIf_Val,NO3f_Val,N2f_Val,OP405TR_Val,OP445TR_Val,OP532TR_Val,OP780TR_Val,OP808TR_Val,OP980TR_Val,OP405TT_Val,OP445TT_Val,OP532TT_Val,OP780TT_Val,OP808TT_Val,OP980TT_Val,Pf_Val,Kf_Val,RBf_Val,SampDur_Val,SeaSaltf_Val,SEf_Val,SIf_Val,NAf_Val,SOILf_Val,SRf_Val,SO4f_Val,Sf_Val,TIf_Val,Vf_Val,ZNf_Val,ZRf_Val
IMPAER,ACAD1,1,06/01/2018,44.3771,-68.261,157.3333,ME,0.01658,0.41437,1.11562,0.00025,0.00271,0.01285,0.29231,0.03588,0,0.17104,0.03924,0.20454,0.37963,0.17835,1.72604,0.15715,0.22475,0.95891,1.12995,0.17404,0.00244,-0.00003,0.00044,1.71,170.31,997.1,376.12,510.02,549.55,486.01,665.64,86.84,158.82,172.86,271.58,218.91,173.26,60.28,21.265,140.04,933.89,329.75,444.96,510.95,443.92,631.46,50.32,99.91,120.24,205.43,176.75,138.47,49.16,0.01363,0.0002,0.03568,0.00027,8.82598,8.44144,4.28066,4.54532,3.89612,117.39,899.25,284.29,383.26,450.11,399.22,588.83,5.43,13.28,21.33,47.71,60.97,50.41,24.36,0.00013,0.32122,0.00414,0.16188,0.1433,0.16641,0.16035,0.14875,0.1259,0.24882,0.24324,0.23833,0.21359,0.20992,0.19144,0.00061,0.01876,0.00001,1440,0.31327,0.00022,0.02545,0.20073,0.15577,0.00019,0.81136,0.28253,0.00103,0.00028,0.00125,-0.00034
IMPAER,ACAD1,1,06/04/2018,44.3771,-68.261,157.3333,ME,0.0124,0.17925,0.63157,0.00003,0.0023,0.01532,0.1154,0.00186,0,0.03725,-0.00447,0.06107,0.1563,0.10063,0.70837,0.08001,0.10638,0.39354,0.43079,0.60565,0.34247,0.0001,0.00003,0.48,384.52,419.76,830.86,374.99,643.15,473.97,928.3,172.64,157.54,225.32,134.34,179.49,122.76,36.57,21.165,344.98,386.28,796.46,356.66,584.49,449.85,875.93,142.1,133.54,201.23,125.77,162.31,113.43,32.21,0.0049,-0.00031,0.05691,0.0005,7.04335,6.8158,2.96812,4.07523,2.74057,272.87,317.36,714.8,306.29,519.47,404.89,827.73,36.7,40.92,75.2,57.44,92.91,66.32,22.79,0.00011,0.13895,-0.00159,0.08442,0.09206,0.06552,0.07748,0.06391,0.05369,0.10249,0.10358,0.10695,0.10808,0.10877,0.09554,0,0.0187,0.00001,1440,1.09017,0.00004,0.01172,0.33791,0.09397,0.00032,0.45932,0.15211,0.00035,0.00018,0.0004,-0.00057
IMPAER,ACAD1,1,06/07/2018,44.3771,-68.261,157.3333,ME,0.00459,0.20289,0.59045,0,0.00188,0.00769,0.12134,0.00904,0,0.0451,-0.00879,0.09691,0.24048,0.10693,0.93746,0.08528,0.10661,0.52081,0.56591,0.16537,0.05365,0.00015,0.00016,0.76,40.2,533.55,260,198.12,269.07,412.04,426.53,22.83,360.01,139.81,145.88,147.69,193.41,41.76,21.49,36.15,484.17,231.79,189.21,253.16,396.18,405.18,15.98,277.32,111.96,134.38,136.27,180.34,38.05,0.00343,0.00005,0.02701,0.0003,8.93262,8.68127,2.36863,6.56399,2.11728,29.37,399.59,207.2,162.64,225.05,358.18,381.32,2.83,70.84,36.97,55.33,71.67,97.73,24.64,0.00011,0.15728,0.00071,0.09419,0.08572,0.06315,0.07524,0.07524,0.04598,0.10379,0.10421,0.10532,0.10716,0.10836,0.1021,0.00029,0.01084,0.00014,1440,0.29767,0.00027,0.00497,0.16241,0.04372,0.0003,0.42942,0.14486,0.00021,0.00015,0.00054,0.00045
IMPAER,ACAD1,1,06/10/2018,44.3771,-68.261,157.3333,ME,0.02052,0.02913,0.42391,0,0.00106,0.00671,0.10068,0.02939,0,0.05581,-0.00984,0.0681,0.15934,0.06763,0.64708,0.07426,0.09229,0.35949,0.41529,0.01702,0.00061,0,0.00007,0.7,87.34,551.97,453.84,375.94,527.89,610.24,392.53,28.07,138.04,140.7,120.14,114.15,109.5,16,21.4875,78.04,508.93,415.06,362.32,502.74,577.94,361.54,20.53,106.55,116.67,106.03,105.2,98.06,14.42,0.01045,0.00045,0.00747,0.00042,5.76448,5.27016,1.85066,3.91382,1.35634,69.19,453.98,372.97,328.41,463.09,562.67,351.61,4.51,33.03,46.63,55.47,65.95,63.32,10.19,0.00005,0.02258,0.00058,0.08361,0.08627,0.07608,0.06563,0.03535,0,0.11602,0.11437,0.11293,0.09419,0.09378,0.08899,0.00018,0.01245,-0.00004,1440,0.03064,-0.00004,0.0348,0.01221,0.16977,0.00014,0.3083,0.12132,0.0009,0.00002,0.00098,-0.00017
IMPAER,ACAD1,1,06/13/2018,44.3771,-68.261,157.3333,ME,0.02878,0.68127,0.86695,0.00031,0.00312,0.02877,0.21757,0.01706,0,0.14824,0.07583,0.28062,0.63302,0.32771,2.52643,0.08639,0.13788,1.40357,1.55181,0.31636,0.04462,0.00031,0.00066,2.16,74.35,803.32,856.2,358.88,154.59,967.05,1132.81,44.73,499.3,585.46,202.4,98.43,478.13,151.35,21.3525,56.39,663.77,651.73,316.43,133.23,850.78,985.34,20.85,266.23,346.65,140.82,71.7,348.71,114.49,0.03709,0.00129,0.05743,0.00108,13.20748,12.826,5.5154,7.69208,5.13389,43.75,527.58,515.24,254.29,109.08,751.06,857.91,0.6,20.79,40.11,24.7,19.46,102.38,46.99,0.00014,0.52812,0.00305,0.0459,0.0473,0.02101,0.05156,0.01181,0.02933,0.14109,0.14152,0.13874,0.12252,0.11956,0.10525,0.00079,0.03165,-0.0001,1440,0.56945,0.00012,0.05488,0.30185,0.34155,0.00055,0.63051,0.22039,0.00254,0.0001,0.00227,-0.00051
IMPAER,ACAD1,1,06/16/2018,44.3771,-68.261,157.3333,ME,0.03089,0.10648,0.40422,0,0.0016,0.01852,0.36962,0.07628,0,0.22277,0.22674,0.38298,0.54875,0.17714,2.80573,0.22313,0.34049,1.55874,1.78151,0.01486,0.00122,0.00006,0.00029,1.87,128.49,328.54,306.18,432.23,176.54,611.17,369.11,107.05,235.59,225.67,288.52,92.17,280.77,43.57,21.39,103.35,272.05,262.31,383.82,154.96,549.4,332.98,53.68,139.69,154.78,221.47,73.3,226.32,36.15,0.02457,0.00031,0.00654,0.00053,9.21322,8.3431,4.76118,4.45204,3.89106,87.7,225.8,220.52,325.22,135.23,490.89,297.73,1.41,8.55,15.26,35.92,18.28,62.48,12.87,0.00006,0.08254,0.00185,0.23665,0.24856,0.24342,0.2068,0.19463,0.191,0.37082,0.36386,0.35829,0.31337,0.31381,0.2872,0.00063,0.02569,0.00004,1440,0.02675,0.00039,0.06499,0.0176,0.32511,0.00022,0.29398,0.12823,0.00293,0.0001,0.00362,0.00041
IMPAER,ACAD1,1,06/19/2018,44.3771,-68.261,157.3333,ME,0.01156,0.03704,0.44142,0,0.00078,0.00603,0.21497,0.05395,0,0.06344,0.03654,0.18266,0.39881,0.16374,1.77701,0.20548,0.23209,0.98723,1.05067,0.00619,0.00065,0.00004,0.00021,0.5,68.63,775.37,796.34,368.36,158.37,938.16,1106.41,45.41,544.78,614.32,234.18,112.1,528.03,166.97,21.46,60.45,731.19,744.68,356.1,147.49,891.09,1079.1,34.01,437.9,517.02,210.87,99.59,474.06,149.88,0.01001,-0.00006,0.00437,0.00008,7.84425,7.49468,2.80195,5.0423,2.45238,47.41,590.93,590.91,306.3,133.03,809.72,977.7,3.68,70.09,120.99,70.86,46.64,231.09,91.63,0.0001,0.02871,-0.00012,0.20769,0.22151,0.20805,0.14578,0.15629,0.1653,0.24587,0.24343,0.24221,0.2035,0.20588,0.18885,0.003,0.01693,0.0001,1426,0.01114,0.00004,0.02475,0.00245,0.12233,-0.0001,0.32103,0.13055,0.00063,0,0.00065,0.0005
IMPAER,ACAD1,1,06/22/2018,44.3771,-68.261,157.3333,ME,0.02397,0.03052,0.32083,0,0.00085,0.0061,0.13546,0.06418,0,0.09844,0.00053,0.11923,0.31003,0.14273,1.2127,0.1012,0.15361,0.67372,0.77216,0.00716,0.00072,0.00009,0.00023,0.82,162.6,980.47,372.63,497.36,560.81,482.78,685.78,83.04,154.35,171.85,270.99,216.3,170.05,63.24,21.4975,148.19,952.22,348.36,464.42,534.04,462.09,657.47,62.31,120.5,143.45,233.35,194.28,147.22,56.56,0.01523,-0.00027,0.00517,0.0004,6.18771,5.68348,2.39215,3.79556,1.88792,120.14,898.34,304.19,405.66,467.03,424.03,620,10.76,26.71,43.43,94.94,103.27,83.65,37.97,0.00006,0.02366,0.00545,0.14154,0.12673,0.11745,0.11644,0.09047,0.07339,0.17486,0.17178,0.16968,0.13135,0.11805,0.11518,0.00019,0.01556,0.00023,1440,0.01289,0.00011,0.04425,0.00666,0.21255,0.0001,0.23333,0.09133,0.00146,0.00008,0.0027,-0.00005
IMPAER,ACAD1,1,06/25/2018,44.3771,-68.261,157.3333,ME,0.00657,0.04047,0.27251,0,0.00101,0.00384,0.14743,0.0398,0,0.06933,0.00594,0.1285,0.27237,0.11635,1.15391,0.1179,0.15956,0.64106,0.71039,0.0272,0.00073,0.00019,0.00062,0.61,72.9,804.89,1011.37,405.78,136.95,651.72,1039.65,50.37,512.17,647.59,219.28,110.54,531.5,175.34,21.2575,66.12,762.98,947.83,401.99,131.14,627.66,991.84,39.44,424.47,564.53,203.83,102.84,491.71,158.37,0.00616,0.00021,0.00488,-0.00003,4.9611,4.68811,1.92366,3.03744,1.65067,53.62,665.45,822.35,365.12,118.51,554.98,924.39,7.56,108.98,195.41,93.52,59.78,297.93,114.17,0.00016,0.03137,0.00389,0.13747,0.13159,0.1325,0.09438,0.1211,0.08971,0.1691,0.16678,0.1676,0.14168,0.14106,0.12257,0.00071,0.00971,0.00005,1440,0.04896,0.00004,0.01146,0.00929,0.06549,0.00003,0.19819,0.0853,0.00069,0.00008,0.00084,-0.00013
IMPAER,ACAD1,1,06/28/2018,44.3771,-68.261,157.3333,ME,0.00581,0.11488,0.43709,0.00013,0.0015,0.00863,0.04987,0.04262,0,0.05757,0.03358,0.10504,0.13253,0.09234,0.71714,0.03492,0.02886,0.39841,0.45599,0.3124,0.15766,0.00005,-0.00012,0.26,110.67,294.35,271.92,416.08,163.49,542.15,342.76,112.8,241.75,244.74,307.53,96.14,289.7,46.08,21.7775,106.52,280.37,261.1,410.04,159,528.16,341.25,99.22,218.14,225.64,292.71,88.91,272.02,43.38,0.00272,0.00002,0.02792,-0.00024,8.91499,9.11748,1.73312,7.18187,1.93561,87.36,245.73,230.76,381.27,147.05,494.14,321.73,54.71,139.47,158.27,224.88,74.32,228.23,37.96,0,0.08905,-0.00154,0.08406,0.03051,0.02701,0.01145,0.03051,0.03705,0.04231,0.03345,0.03505,0.02075,0.0279,0.02663,0,0.00964,0.00019,1440,0.56232,0.00005,0.00521,0.18806,0.04662,0.00035,0.31788,0.10916,0.00011,0.00018,0.00025,0.00008
